Description,Country,Observations,Label,Colour,Mean
Percentage of businesses in which ICT security and data protection tasks are mainly performed by own employees,Austria,23.4,Positive,#fc8b9b,23.7
Percentage of businesses in which ICT security and data protection tasks are mainly performed by own employees,Belgium,22.0,Positive,#fc8b9b,
Percentage of businesses in which ICT security and data protection tasks are mainly performed by own employees,Czech Republic,26.9,Negative,#F6BC65,
Percentage of businesses in which ICT security and data protection tasks are mainly performed by own employees,Denmark,24.4,Negative,#F6BC65,
Percentage of businesses in which ICT security and data protection tasks are mainly performed by own employees,Estonia,35.8,Negative,#F6BC65,
Percentage of businesses in which ICT security and data protection tasks are mainly performed by own employees,European Union (28 countries),22.0,Positive,#fc8b9b,
Percentage of businesses in which ICT security and data protection tasks are mainly performed by own employees,Finland,33.4,Negative,#F6BC65,
Percentage of businesses in which ICT security and data protection tasks are mainly performed by own employees,France,16.9,Positive,#fc8b9b,
Percentage of businesses in which ICT security and data protection tasks are mainly performed by own employees,Germany,23.5,Positive,#fc8b9b,
Percentage of businesses in which ICT security and data protection tasks are mainly performed by own employees,Greece,15.0,Positive,#fc8b9b,
Percentage of businesses in which ICT security and data protection tasks are mainly performed by own employees,Hungary,19.8,Positive,#fc8b9b,
Percentage of businesses in which ICT security and data protection tasks are mainly performed by own employees,Ireland,22.7,Positive,#fc8b9b,
Percentage of businesses in which ICT security and data protection tasks are mainly performed by own employees,Italy,17.1,Positive,#fc8b9b,
Percentage of businesses in which ICT security and data protection tasks are mainly performed by own employees,Latvia,40.5,Negative,#F6BC65,
Percentage of businesses in which ICT security and data protection tasks are mainly performed by own employees,Lithuania,19.4,Positive,#fc8b9b,
Percentage of businesses in which ICT security and data protection tasks are mainly performed by own employees,Luxembourg,26.9,Negative,#F6BC65,
Percentage of businesses in which ICT security and data protection tasks are mainly performed by own employees,Netherlands,22.6,Positive,#fc8b9b,
Percentage of businesses in which ICT security and data protection tasks are mainly performed by own employees,Norway,19.6,Positive,#fc8b9b,
Percentage of businesses in which ICT security and data protection tasks are mainly performed by own employees,Poland,21.6,Positive,#fc8b9b,
Percentage of businesses in which ICT security and data protection tasks are mainly performed by own employees,Portugal,19.1,Positive,#fc8b9b,
Percentage of businesses in which ICT security and data protection tasks are mainly performed by own employees,Sample average (24 OECD Member countries),23.7,Negative,#F6BC65,
Percentage of businesses in which ICT security and data protection tasks are mainly performed by own employees,Slovak Republic,19.1,Positive,#fc8b9b,
Percentage of businesses in which ICT security and data protection tasks are mainly performed by own employees,Slovenia,23.6,Positive,#fc8b9b,
Percentage of businesses in which ICT security and data protection tasks are mainly performed by own employees,Spain,21.3,Positive,#fc8b9b,
Percentage of businesses in which ICT security and data protection tasks are mainly performed by own employees,Sweden,27.9,Negative,#F6BC65,
Percentage of businesses in which ICT security and data protection tasks are mainly performed by own employees,United Kingdom,27.1,Negative,#F6BC65,
Percentage of businesses in which ICT security and data protection tasks are mainly performed by own employees,Aruba,55.0,Aruba,#81d7d3,
,,,,,
,,,,,
