Description,Country,Observations,Label,Colour,Mean
Percentage of Internet users experiencing abuse of personal information or privacy violations,Austria,2.9,Positive,#fc8b9b,3.4
Percentage of Internet users experiencing abuse of personal information or privacy violations,Belgium,3.0,Positive,#fc8b9b,
Percentage of Internet users experiencing abuse of personal information or privacy violations,Canada,2.1,Positive,#fc8b9b,
Percentage of Internet users experiencing abuse of personal information or privacy violations,Chile,7.8,Negative,#F6BC65,
Percentage of Internet users experiencing abuse of personal information or privacy violations,Costa Rica,4.0,Negative,#F6BC65,
Percentage of Internet users experiencing abuse of personal information or privacy violations,Czech Republic,0.8,Positive,#fc8b9b,
Percentage of Internet users experiencing abuse of personal information or privacy violations,Denmark,3.2,Positive,#fc8b9b,
Percentage of Internet users experiencing abuse of personal information or privacy violations,Estonia,2.5,Positive,#fc8b9b,
Percentage of Internet users experiencing abuse of personal information or privacy violations,European Union (28 countries),3.4,Negative,#F6BC65,
Percentage of Internet users experiencing abuse of personal information or privacy violations,Finland,1.7,Positive,#fc8b9b,
Percentage of Internet users experiencing abuse of personal information or privacy violations,France,3.0,Positive,#fc8b9b,
Percentage of Internet users experiencing abuse of personal information or privacy violations,Germany,2.5,Positive,#fc8b9b,
Percentage of Internet users experiencing abuse of personal information or privacy violations,Greece,1.7,Positive,#fc8b9b,
Percentage of Internet users experiencing abuse of personal information or privacy violations,Hungary,3.4,Negative,#F6BC65,
Percentage of Internet users experiencing abuse of personal information or privacy violations,Iceland,2.3,Positive,#fc8b9b,
Percentage of Internet users experiencing abuse of personal information or privacy violations,Ireland,1.4,Positive,#fc8b9b,
Percentage of Internet users experiencing abuse of personal information or privacy violations,Italy,6.0,Negative,#F6BC65,
Percentage of Internet users experiencing abuse of personal information or privacy violations,Korea,6.3,Negative,#F6BC65,
Percentage of Internet users experiencing abuse of personal information or privacy violations,Latvia,1.4,Positive,#fc8b9b,
Percentage of Internet users experiencing abuse of personal information or privacy violations,Lithuania,1.3,Positive,#fc8b9b,
Percentage of Internet users experiencing abuse of personal information or privacy violations,Luxembourg,4.4,Negative,#F6BC65,
Percentage of Internet users experiencing abuse of personal information or privacy violations,Mexico,3.6,Negative,#F6BC65,
Percentage of Internet users experiencing abuse of personal information or privacy violations,Netherlands,3.2,Positive,#fc8b9b,
Percentage of Internet users experiencing abuse of personal information or privacy violations,Norway,3.3,Positive,#fc8b9b,
Percentage of Internet users experiencing abuse of personal information or privacy violations,Poland,2.8,Positive,#fc8b9b,
Percentage of Internet users experiencing abuse of personal information or privacy violations,Portugal,4.1,Negative,#F6BC65,
Percentage of Internet users experiencing abuse of personal information or privacy violations,Sample average (4 OECD Member countries),4.0,Negative,#F6BC65,
Percentage of Internet users experiencing abuse of personal information or privacy violations,Slovak Republic,2.6,Positive,#fc8b9b,
Percentage of Internet users experiencing abuse of personal information or privacy violations,Slovenia,1.5,Positive,#fc8b9b,
Percentage of Internet users experiencing abuse of personal information or privacy violations,Spain,5.0,Negative,#F6BC65,
Percentage of Internet users experiencing abuse of personal information or privacy violations,Sweden,3.4,Positive,#fc8b9b,
Percentage of Internet users experiencing abuse of personal information or privacy violations,Switzerland,2.6,Positive,#fc8b9b,
Percentage of Internet users experiencing abuse of personal information or privacy violations,Turkey,5.2,Negative,#F6BC65,
Percentage of Internet users experiencing abuse of personal information or privacy violations,United Kingdom,3.5,Negative,#F6BC65,
Percentage of Internet users experiencing abuse of personal information or privacy violations,Aruba,7.9,Negative,#81d7d3,
