Description,Country,Observations,Label,Colour,Mean
Share of households with broadband connections,Australia,77.0,Positive,#fc8b9b,86.62509595
Share of households with broadband connections,Austria,89.1,Negative,#F6BC65,
Share of households with broadband connections,Belgium,90.9,Negative,#F6BC65,
Share of households with broadband connections,Brazil,63.0,Positive,#fc8b9b,
Share of households with broadband connections,Canada,80.1,Positive,#fc8b9b,
Share of households with broadband connections,Chile,87.5,Negative,#F6BC65,
Share of households with broadband connections,Czech Republic,88.0,Negative,#F6BC65,
Share of households with broadband connections,Denmark,92.5,Negative,#F6BC65,
Share of households with broadband connections,Estonia,89.1,Negative,#F6BC65,
Share of households with broadband connections,European Union (28 countries),88.6,Negative,#F6BC65,
Share of households with broadband connections,Finland,94.8,Negative,#F6BC65,
Share of households with broadband connections,France,82.8,Positive,#fc8b9b,
Share of households with broadband connections,Germany,94.8,Negative,#F6BC65,
Share of households with broadband connections,Greece,80.0,Positive,#fc8b9b,
Share of households with broadband connections,Hungary,87.2,Negative,#F6BC65,
Share of households with broadband connections,Iceland,96.7,Negative,#F6BC65,
Share of households with broadband connections,Ireland,91.8,Negative,#F6BC65,
Share of households with broadband connections,Italy,86.8,Negative,#F6BC65,
Share of households with broadband connections,Japan,65.1,Positive,#fc8b9b,
Share of households with broadband connections,Korea,99.7,Negative,#F6BC65,
Share of households with broadband connections,Latvia,87.6,Negative,#F6BC65,
Share of households with broadband connections,Lithuania,81.8,Positive,#fc8b9b,
Share of households with broadband connections,Luxembourg,93.6,Negative,#F6BC65,
Share of households with broadband connections,Mexico,56.2,Positive,#fc8b9b,
Share of households with broadband connections,Netherlands,97.0,Negative,#F6BC65,
Share of households with broadband connections,New Zealand,75.0,Positive,#fc8b9b,
Share of households with broadband connections,Norway,96.0,Negative,#F6BC65,
Share of households with broadband connections,Poland,89.6,Negative,#F6BC65,
Share of households with broadband connections,Portugal,81.7,Positive,#fc8b9b,
Share of households with broadband connections,Slovak Republic,84.7,Positive,#fc8b9b,
Share of households with broadband connections,Slovenia,90.0,Negative,#F6BC65,
Share of households with broadband connections,Spain,95.3,Negative,#F6BC65,
Share of households with broadband connections,Sweden,91.0,Negative,#F6BC65,
Share of households with broadband connections,Switzerland,95.3,Negative,#F6BC65,
Share of households with broadband connections,Turkey,89.9,Negative,#F6BC65,
Share of households with broadband connections,United Kingdom,95.8,Negative,#F6BC65,
Share of households with broadband connections,United States,79.2,Positive,#fc8b9b,
Share of households with broadband connections,Aruba,84.0,Aruba,#81d7d3,
