Description,Country,Observations,Label,Colour,Mean
Internet users as a share of individuals,Australia,90.5,Negative,#F6BC65,85.6
Internet users as a share of individuals,Austria,87.5,Negative,#F6BC65,
Internet users as a share of individuals,Belgium,91.5,Negative,#F6BC65,
Internet users as a share of individuals,Brazil,75.8,Positive,#fc8b9b,
Internet users as a share of individuals,Canada,94.6,Negative,#F6BC65,
Internet users as a share of individuals,Chile,83.5,Positive,#fc8b9b,
Internet users as a share of individuals,Costa Rica,86.4,Negative,#F6BC65,
Internet users as a share of individuals,Czech Republic,87.6,Negative,#F6BC65,
Internet users as a share of individuals,Denmark,98.7,Negative,#F6BC65,
Internet users as a share of individuals,Estonia,89.1,Negative,#F6BC65,
Internet users as a share of individuals,European Union (28 countries),87.2,Negative,#F6BC65,
Internet users as a share of individuals,Finland,97.0,Negative,#F6BC65,
Internet users as a share of individuals,France,89.4,Negative,#F6BC65,
Internet users as a share of individuals,Germany,94.3,Negative,#F6BC65,
Internet users as a share of individuals,Greece,78.1,Positive,#fc8b9b,
Internet users as a share of individuals,Hungary,84.8,Positive,#fc8b9b,
Internet users as a share of individuals,Iceland,99.5,Negative,#F6BC65,
Internet users as a share of individuals,India,34.5,Positive,#fc8b9b,
Internet users as a share of individuals,Indonesia,47.7,Positive,#fc8b9b,
Internet users as a share of individuals,Ireland,91.0,Negative,#F6BC65,
Internet users as a share of individuals,Israel,89.5,Negative,#F6BC65,
Internet users as a share of individuals,Italy,75.6,Positive,#fc8b9b,
Internet users as a share of individuals,Korea,96.5,Negative,#F6BC65,
Internet users as a share of individuals,Latvia,88.9,Negative,#F6BC65,
Internet users as a share of individuals,Lithuania,83.1,Positive,#fc8b9b,
Internet users as a share of individuals,Luxembourg,98.5,Negative,#F6BC65,
Internet users as a share of individuals,Mexico,73.0,Positive,#fc8b9b,
Internet users as a share of individuals,Netherlands,94.0,Negative,#F6BC65,
Internet users as a share of individuals,New Zealand,84.0,Positive,#fc8b9b,
Internet users as a share of individuals,Norway,97.6,Negative,#F6BC65,
Internet users as a share of individuals,Poland,83.2,Positive,#fc8b9b,
Internet users as a share of individuals,Portugal,78.3,Positive,#fc8b9b,
Internet users as a share of individuals,Slovak Republic,89.9,Negative,#F6BC65,
Internet users as a share of individuals,Slovenia,86.6,Negative,#F6BC65,
Internet users as a share of individuals,South Africa,56.2,Positive,#fc8b9b,
Internet users as a share of individuals,Spain,93.2,Negative,#F6BC65,
Internet users as a share of individuals,Sweden,97.1,Negative,#F6BC65,
Internet users as a share of individuals,Switzerland,96.5,Negative,#F6BC65,
Internet users as a share of individuals,Turkey,77.7,Positive,#fc8b9b,
Internet users as a share of individuals,United Kingdom,97.3,Negative,#F6BC65,
Internet users as a share of individuals,United States,83.3,Positive,#fc8b9b,
Internet users as a share of individuals,Aruba,87.0,Aruba,#81d7d3,
