Description,Country,Observations,Label,Colour,Mean
Share of businesses with a web presence,Australia,80.37,Negative,#F6BC65,74.1
Share of businesses with a web presence,Austria,90.4229,Negative,#F6BC65,
Share of businesses with a web presence,Belgium,86.6194,Negative,#F6BC65,
Share of businesses with a web presence,Brazil,52.89616,Positive,#fc8b9b,
Share of businesses with a web presence,Canada,81.8,Negative,#F6BC65,
Share of businesses with a web presence,Colombia,67.81046,Positive,#fc8b9b,
Share of businesses with a web presence,Czech Republic,83.3165,Negative,#F6BC65,
Share of businesses with a web presence,Denmark,92.7669,Negative,#F6BC65,
Share of businesses with a web presence,Estonia,79.7905,Negative,#F6BC65,
Share of businesses with a web presence,Finland,95.9196,Negative,#F6BC65,
Share of businesses with a web presence,France,70.3522,Positive,#fc8b9b,
Share of businesses with a web presence,Germany,88.3468,Negative,#F6BC65,
Share of businesses with a web presence,Greece,60.1004,Positive,#fc8b9b,
Share of businesses with a web presence,Hungary,63.2305,Positive,#fc8b9b,
Share of businesses with a web presence,Iceland,82.5723,Negative,#F6BC65,
Share of businesses with a web presence,India,31.9,Positive,#fc8b9b,
Share of businesses with a web presence,Indonesia,29.96,Positive,#fc8b9b,
Share of businesses with a web presence,Ireland,75.2665,Negative,#F6BC65,
Share of businesses with a web presence,Italy,73.1121,Positive,#fc8b9b,
Share of businesses with a web presence,Japan,91.5,Negative,#F6BC65,
Share of businesses with a web presence,Korea,67.09578,Positive,#fc8b9b,
Share of businesses with a web presence,Latvia,62.6167,Positive,#fc8b9b,
Share of businesses with a web presence,Lithuania,78.1273,Negative,#F6BC65,
Share of businesses with a web presence,Luxembourg,83.9826,Negative,#F6BC65,
Share of businesses with a web presence,Mexico,41.45065,Positive,#fc8b9b,
Share of businesses with a web presence,Netherlands,84.1399,Negative,#F6BC65,
Share of businesses with a web presence,New Zealand,82.76,Negative,#F6BC65,
Share of businesses with a web presence,Norway,78.7557,Negative,#F6BC65,
Share of businesses with a web presence,Poland,71.3222,Positive,#fc8b9b,
Share of businesses with a web presence,Portugal,61.5465,Positive,#fc8b9b,
Share of businesses with a web presence,Slovak Republic,75.8213,Negative,#F6BC65,
Share of businesses with a web presence,Slovenia,80.7907,Negative,#F6BC65,
Share of businesses with a web presence,Spain,75.2836,Negative,#F6BC65,
Share of businesses with a web presence,Sweden,90.0491,Negative,#F6BC65,
Share of businesses with a web presence,Switzerland,91.74265,Negative,#F6BC65,
Share of businesses with a web presence,Turkey,53.7459,Positive,#fc8b9b,
Share of businesses with a web presence,United Kingdom,83.8778,Negative,#F6BC65,
Share of businesses with a web presence,United States,72.85,Positive,#fc8b9b,
Share of businesses with a web presence,Aruba,90,Aruba,#81d7d3,
