Description,Country,Observations,Label,Colour,Mean
Disparity in broadband uptake between urban and rural households,Austria,2.9,Positive,#fc8b9b,8.0
Disparity in broadband uptake between urban and rural households,Brazil,24.7,Negative,#F6BC65,
Disparity in broadband uptake between urban and rural households,Chile,12.5,Negative,#F6BC65,
Disparity in broadband uptake between urban and rural households,Czech Republic,3.8,Positive,#fc8b9b,
Disparity in broadband uptake between urban and rural households,Denmark,4.3,Positive,#fc8b9b,
Disparity in broadband uptake between urban and rural households,Estonia,2.2,Positive,#fc8b9b,
Disparity in broadband uptake between urban and rural households,European Union (28 countries),8.4,Negative,#F6BC65,
Disparity in broadband uptake between urban and rural households,Finland,3.9,Positive,#fc8b9b,
Disparity in broadband uptake between urban and rural households,France,10.7,Negative,#F6BC65,
Disparity in broadband uptake between urban and rural households,Greece,16.7,Negative,#F6BC65,
Disparity in broadband uptake between urban and rural households,Hungary,10.7,Negative,#F6BC65,
Disparity in broadband uptake between urban and rural households,Iceland,-0.7,Positive,#fc8b9b,
Disparity in broadband uptake between urban and rural households,Indonesia,26.2,Negative,#F6BC65,
Disparity in broadband uptake between urban and rural households,Ireland,2.5,Positive,#fc8b9b,
Disparity in broadband uptake between urban and rural households,Italy,5.9,Positive,#fc8b9b,
Disparity in broadband uptake between urban and rural households,Latvia,3.2,Positive,#fc8b9b,
Disparity in broadband uptake between urban and rural households,Lithuania,9.8,Negative,#F6BC65,
Disparity in broadband uptake between urban and rural households,Luxembourg,-2.8,Positive,#fc8b9b,
Disparity in broadband uptake between urban and rural households,Netherlands,0.3,Positive,#fc8b9b,
Disparity in broadband uptake between urban and rural households,Norway,8.6,Negative,#F6BC65,
Disparity in broadband uptake between urban and rural households,Poland,2.2,Positive,#fc8b9b,
Disparity in broadband uptake between urban and rural households,Portugal,15.5,Negative,#F6BC65,
Disparity in broadband uptake between urban and rural households,Slovenia,5.5,Positive,#fc8b9b,
Disparity in broadband uptake between urban and rural households,South Africa,27.4,Negative,#F6BC65,
Disparity in broadband uptake between urban and rural households,Spain,5.6,Positive,#fc8b9b,
Disparity in broadband uptake between urban and rural households,Sweden,7.8,Positive,#fc8b9b,
Disparity in broadband uptake between urban and rural households,United Kingdom,1.7,Positive,#fc8b9b,
Disparity in broadband uptake between urban and rural households,United States,6.0,Positive,#fc8b9b,
Disparity in broadband uptake between urban and rural households,Aruba,5.1,Aruba,#81d7d3,
