Description,Country,Observations,Label,Colour,Mean
Women as a share of all 16-24 year-olds who can program,Austria,29.0,Negative,#F6BC65,27.9
Women as a share of all 16-24 year-olds who can program,Belgium,12.8,Positive,#fc8b9b,
Women as a share of all 16-24 year-olds who can program,Czech Republic,21.7,Positive,#fc8b9b,
Women as a share of all 16-24 year-olds who can program,Denmark,38.2,Negative,#F6BC65,
Women as a share of all 16-24 year-olds who can program,Estonia,32.6,Negative,#F6BC65,
Women as a share of all 16-24 year-olds who can program,European Union (28 countries),30.6,Negative,#F6BC65,
Women as a share of all 16-24 year-olds who can program,Finland,37.4,Negative,#F6BC65,
Women as a share of all 16-24 year-olds who can program,France,35.0,Negative,#F6BC65,
Women as a share of all 16-24 year-olds who can program,Germany,32.0,Negative,#F6BC65,
Women as a share of all 16-24 year-olds who can program,Greece,18.0,Positive,#fc8b9b,
Women as a share of all 16-24 year-olds who can program,Hungary,8.2,Positive,#fc8b9b,
Women as a share of all 16-24 year-olds who can program,Iceland,30.8,Negative,#F6BC65,
Women as a share of all 16-24 year-olds who can program,Ireland,13.5,Positive,#fc8b9b,
Women as a share of all 16-24 year-olds who can program,Italy,33.1,Negative,#F6BC65,
Women as a share of all 16-24 year-olds who can program,Latvia,28.4,Negative,#F6BC65,
Women as a share of all 16-24 year-olds who can program,Lithuania,22.4,Positive,#fc8b9b,
Women as a share of all 16-24 year-olds who can program,Luxembourg,23.6,Positive,#fc8b9b,
Women as a share of all 16-24 year-olds who can program,Netherlands,24.7,Positive,#fc8b9b,
Women as a share of all 16-24 year-olds who can program,Norway,32.7,Negative,#F6BC65,
Women as a share of all 16-24 year-olds who can program,Poland,26.0,Positive,#fc8b9b,
Women as a share of all 16-24 year-olds who can program,Portugal,35.9,Negative,#F6BC65,
Women as a share of all 16-24 year-olds who can program,Sample average (27 OECD Member countries),27.8,Positive,#fc8b9b,
Women as a share of all 16-24 year-olds who can program,Slovak Republic,29.7,Negative,#F6BC65,
Women as a share of all 16-24 year-olds who can program,Slovenia,20.5,Positive,#fc8b9b,
Women as a share of all 16-24 year-olds who can program,Spain,39.5,Negative,#F6BC65,
Women as a share of all 16-24 year-olds who can program,Sweden,36.9,Negative,#F6BC65,
Women as a share of all 16-24 year-olds who can program,Switzerland,29.0,Negative,#F6BC65,
Women as a share of all 16-24 year-olds who can program,Turkey,33.7,Negative,#F6BC65,
Women as a share of all 16-24 year-olds who can program,United Kingdom,24.6,Positive,#fc8b9b,
Women as a share of all 16-24 year-olds who can program,Aruba,18,Aruba,#81d7d3,
